,distrito,ano,quarter,precio
436,Tetuan,2013,3,11.27
437,Usera,2013,3,8.81
438,Vicálvaro,2013,3,8.22
439,Villa De Vallecas,2013,3,8.79
440,Villaverde,2013,3,8.0
441,Arganzuela,2013,4,10.885806976700499
442,Barajas,2013,4,10.1819608094653
443,Carabanchel,2013,4,8.811583508295929
444,Centro,2013,4,13.382205280199402
445,Chamartín,2013,4,12.27163963105
446,Chamberí,2013,4,13.003915857379301
447,Ciudad Lineal,2013,4,10.2175801848829
448,Fuencarral,2013,4,9.87960665515587
449,Hortaleza,2013,4,10.898040819791902
450,Latina,2013,4,8.45491551892365
451,Moncloa,2013,4,11.3603894250714
452,Moratalaz,2013,4,8.33049430140202
453,Puente De Vallecas,2013,4,8.64026027165763
454,Retiro,2013,4,11.5196751558057
455,Salamanca,2013,4,13.2930664878794
456,San Blas,2013,4,9.28269287897229
457,Tetuan,2013,4,11.2223607143676
458,Usera,2013,4,8.842726904760779
459,Vicálvaro,2013,4,8.18222284461504
460,Villa De Vallecas,2013,4,8.746883630883419
461,Villaverde,2013,4,7.93331780975459
462,Arganzuela,2014,1,10.9374781395966
463,Barajas,2014,1,10.00814884941
464,Carabanchel,2014,1,8.83351044694718
465,Centro,2014,1,13.5904774555863
466,Chamartín,2014,1,12.2684564576669
467,Chamberí,2014,1,13.3669247616624
468,Ciudad Lineal,2014,1,10.3064138553634
469,Fuencarral,2014,1,10.1262694023151
470,Hortaleza,2014,1,11.0093598627774
471,Latina,2014,1,9.026921486298232
472,Moncloa,2014,1,12.3507040716668
473,Moratalaz,2014,1,8.49851824978058
474,Puente De Vallecas,2014,1,8.60963457721565
475,Retiro,2014,1,11.6327626766866
476,Salamanca,2014,1,13.9659115030923
477,San Blas,2014,1,9.38414400017937
478,Tetuan,2014,1,11.2243451876198
479,Usera,2014,1,9.19397968789023
480,Vicálvaro,2014,1,7.971202115039799
481,Villa De Vallecas,2014,1,8.773028118642051
482,Villaverde,2014,1,8.090746109197768
483,Arganzuela,2014,2,10.68
484,Barajas,2014,2,9.85
485,Carabanchel,2014,2,8.27
486,Centro,2014,2,13.39
487,Chamartín,2014,2,12.26
488,Chamberí,2014,2,13.21
489,Ciudad Lineal,2014,2,10.19
490,Fuencarral,2014,2,9.95
491,Hortaleza,2014,2,10.57
492,Latina,2014,2,8.56
493,Moncloa,2014,2,12.0
494,Moratalaz,2014,2,8.37
495,Puente De Vallecas,2014,2,8.41
496,Retiro,2014,2,11.4
497,Salamanca,2014,2,13.43
498,San Blas,2014,2,9.2
499,Tetuan,2014,2,11.06
500,Usera,2014,2,8.42
501,Vicálvaro,2014,2,8.26
502,Villa De Vallecas,2014,2,8.59
503,Villaverde,2014,2,7.81
504,Arganzuela,2014,3,10.774738957455199
505,Barajas,2014,3,9.77862030001998
506,Carabanchel,2014,3,8.16135061411346
507,Centro,2014,3,13.4640041023515
508,Chamartín,2014,3,12.172735466841301
509,Chamberí,2014,3,13.232509346510598
510,Ciudad Lineal,2014,3,10.0468797303064
511,Fuencarral,2014,3,9.80088196075923
512,Hortaleza,2014,3,10.542636250720099
513,Latina,2014,3,8.661080333210469
514,Moncloa,2014,3,11.6835203112687
515,Moratalaz,2014,3,8.35690382290628
516,Puente De Vallecas,2014,3,8.28698492838285
